STE_NAME16	FamilyHousehold	UsualResidents.min	occupied_private_dwellings
New South Wales	0	1	620778
New South Wales	0	2	74366
New South Wales	0	3	20321
New South Wales	0	4	8589
New South Wales	0	5	3324
New South Wales	0	6	2404
New South Wales	1	2	767931
New South Wales	1	3	404630
New South Wales	1	4	414213
New South Wales	1	5	186258
New South Wales	1	6	101488
Victoria	0	1	521828
Victoria	0	2	63884
Victoria	0	3	19104
Victoria	0	4	7867
Victoria	0	5	2894
Victoria	0	6	1827
Victoria	1	2	624809
Victoria	1	3	325876
Victoria	1	4	338370
Victoria	1	5	140368
Victoria	1	6	65858
Queensland	0	1	389076
Queensland	0	2	56045
Queensland	0	3	14225
Queensland	0	4	5029
Queensland	0	5	1669
Queensland	0	6	930
Queensland	1	2	525786
Queensland	1	3	253213
Queensland	1	4	247222
Queensland	1	5	106601
Queensland	1	6	57037
South Australia	0	1	179119
South Australia	0	2	16629
South Australia	0	3	3988
South Australia	0	4	1466
South Australia	0	5	467
South Australia	0	6	298
South Australia	1	2	205704
South Australia	1	3	92280
South Australia	1	4	89884
South Australia	1	5	34262
South Australia	1	6	14692
Western Australia	0	1	204202
Western Australia	0	2	22739
Western Australia	0	3	6166
Western Australia	0	4	2407
Western Australia	0	5	880
Western Australia	0	6	500
Western Australia	1	2	271184
Western Australia	1	3	135151
Western Australia	1	4	139668
Western Australia	1	5	57101
Western Australia	1	6	26772
Tasmania	0	1	58517
Tasmania	0	2	4922
Tasmania	0	3	1019
Tasmania	0	4	364
Tasmania	0	5	119
Tasmania	0	6	66
Tasmania	1	2	66887
Tasmania	1	3	27253
Tasmania	1	4	24480
Tasmania	1	5	9609
Tasmania	1	6	4345
Northern Territory	0	1	14228
Northern Territory	0	2	2376
Northern Territory	0	3	701
Northern Territory	0	4	244
Northern Territory	0	5	69
Northern Territory	0	6	45
Northern Territory	1	2	17631
Northern Territory	1	3	10058
Northern Territory	1	4	9813
Northern Territory	1	5	4823
Northern Territory	1	6	5066
Australian Capital Territory	0	1	35413
Australian Capital Territory	0	2	4366
Australian Capital Territory	0	3	1681
Australian Capital Territory	0	4	581
Australian Capital Territory	0	5	188
Australian Capital Territory	0	6	118
Australian Capital Territory	1	2	42545
Australian Capital Territory	1	3	22490
Australian Capital Territory	1	4	23201
Australian Capital Territory	1	5	8539
Australian Capital Territory	1	6	3537
Other Territories	0	1	369
Other Territories	0	2	12
Other Territories	1	2	463
Other Territories	1	3	201
Other Territories	1	4	160
Other Territories	1	5	93
Other Territories	1	6	66
